类型,RemakeText,RemakeSpeaker,RemakeChar,RemakeScene,RemakeFunc,RemakeBlock,RemakeFuncType,Remake前驱,Remake后继,MatchType,MyVoiceId,MyCandidates,GtVoiceId,GtText,GtScene,GtFunc,GtBlock,Gt前驱,Gt后继
错配,うう……そうなんだけどさぁ……,0,001,mp0000_ev,EV_00_38_01,Loc_161,非TK,_entry:jump;Loc_160:next,,唯一,0010001532,0010001532,0010001538,うう……そうなんだけどさぁ……,T0401,Function_21,loc_188C,loc_1316:switch,loc_1A26:jump
错配,ありがとう。今回は本当に助かったよ。,10036,091,mp0000_ev,EV_00_38_03,_entry,非TK,,,唯一,0910001614,0910001614,0910001623,ありがとう。今回は本当に助かったよ。,T0410,Function_11,Function_11_11DA,,
错配,必ずお邪魔させてもらいます。,1,002,mp0000_ev,EV_00_38_03,_entry,非TK,,,唯一,0020001622,0020001622,0020001630,必ずお邪魔させてもらいます。,T0410,Function_11,Function_11_11DA,,
错配,ひっ……,116,015,mp0000_ev,EV_00_59_00,_entry,非TK,,,唯一,0150010692,0150010692,0150010641,ひっ……,C0403,Function_8,Function_8_26C7,,
错配,あれぇ、そういえば……ヨシュア君はどうしたの～？,123,028,mp0000_ev,EV_00_61_00,_entry,非TK,,,唯一,0280010771,0280010771,0280010772,あれぇ、そういえば……ヨシュア君はどうしたの〜？,,,,,
错配,やあ、ご苦労さん。ボースまで行くつもりかい？,10041,112,mp0000_ev,EV_01_02_00,_entry,非TK,,Loc_180:next,唯一,1120020299,1120020299,1120020287,やあ、ご苦労さん。ボースまで行くつもりかい？,T0500,Function_7,loc_DF9,Function_7_662:cond_true,loc_111D:cond_true;loc_11C4:jump;loc_111D:cond_false
错配,そうだ、この関所でも一応通行規制が行われているんだ。,10041,112,mp0000_ev,EV_01_02_00,_entry,非TK,,Loc_180:next,唯一,1120020308,1120020308,1120020296,そうだ、この関所でも一応通行規制が行われているんだ。,T0500,Function_7,loc_DF9,Function_7_662:cond_true,loc_111D:cond_true;loc_11C4:jump;loc_111D:cond_false
错配,通りたいんだったら、隣の受付で隊長から通行許可証を貰ってくれ。,10041,112,mp0000,TK_SCOTT,Loc_896,TK,,Loc_898:cond_false;Loc_897:jump,唯一,1120020309,1120020309,1120020297,通りたいんだったら、隣の受付で隊長から通行許可証を貰ってくれ。,T0500,Function_7,loc_DF9,Function_7_662:cond_true,loc_111D:cond_true;loc_11C4:jump;loc_111D:cond_false
错配,何かが排水溝の底に落ちてるみたいだね。,1,002,mp0000_ev,QS000_01_00,Loc_189,非TK,Loc_187:jump;Loc_188:cond_false;Loc_188:next,,唯一,0020150034,0020150034,0020150040,何かが排水溝の底に落ちてるみたいだね。,T0100_1,Function_4,loc_3EB1,loc_3D3E:cond_true;loc_3D3E:cond_false,loc_4085:next
错配,あのキノコの光にも同じ効果があるみたいだね。,1,002,mp0000_ev,QS001_02_00,Loc_242,非TK,Loc_241:cond_false;Loc_241:next,Loc_243:cond_false;Loc_243:next,唯一,0020150203,0020150203,0020150211,あのキノコの光にも同じ効果があるみたいですね。,R0302_1,Function_1,loc_108F,loc_EB7:cond_true;loc_EB7:cond_false,loc_1112:next
错配,あの子はもしかして……,1,002,mp0000_ev,QS005_03_00,_entry,非TK,,,唯一,0020150721,0020150721,0020150715,あの子はもしかして……,T0100_1,Function_31,loc_5130,loc_5052:jump;loc_5111:cond_true;loc_5111:cond_false,loc_52E8:jump
错配,そうか……,1,002,mp0000,TK_LOOK,Loc_298,TK,Loc_296:jump;Loc_297:next,Loc_299:jump,唯一,0020170215,0020170215,0050441805|0060060751|0130031747|0490061523|0520051069|0520060902|0540091133|0600030135|1180021563|1180021577|2630121361,そうか……|そうか……|そうか……|そうか……|そうか……|そうか……|そうか……|そうか……|そうか……|そうか……|そうか……,T3130,Function_13,loc_109C,loc_1026:cond_true;loc_1026:cond_false,loc_13F9:next
错配,そうか……,1,002,mp0000,TK_LOOK,Loc_298,TK,Loc_296:jump;Loc_297:next,Loc_299:jump,唯一,0020170215,0020170215,0050441805|0060060751|0130031747|0490061523|0520051069|0520060902|0540091133|0600030135|1180021563|1180021577|2630121361,そうか……|そうか……|そうか……|そうか……|そうか……|そうか……|そうか……|そうか……|そうか……|そうか……|そうか……,T3130,Function_13,loc_109C,loc_1026:cond_true;loc_1026:cond_false,loc_13F9:next
错配,ああ、待ってるよ。,10020,087,mp0010_04,TK_RINON,Loc_34,TK,Loc_32:jump;Loc_33:next,Loc_35:jump,唯一,0870000795,0870000795,0570080593,ああ、待ってるよ。,T3200,Function_20,Function_20_2BC0,,
错配,ああ、待ってるよ。,10020,087,mp0010_04,TK_RINON,Loc_34,TK,Loc_32:jump;Loc_33:next,Loc_35:jump,唯一,0870000795,0870000795,0570080593,ああ、待ってるよ。,T3200,Function_20,Function_20_2BC0,,
错配,お疲れさま。無事に目的を達成できたみたいね。,133,035,mp0010_05,EV_00_18_00,_entry,非TK,,,唯一,0350000634,0350000634,0350000648,お疲れさま。無事に目的を達成できたみたいね。,T0121_1,Function_2,loc_87D,Function_2_2ED:cond_true;Function_2_2ED:cond_false,loc_923:cond_true;loc_9AA:jump;loc_923:cond_false
错配,よろしく頼んだよ。,124,034,mp0010_08,EV_00_40_00,_entry,非TK,,,唯一,0340010066,0340010066,0340010062|0550070756,よろしく頼んだよ。|よろしく頼んだよ。,T3115,Function_15,Function_15_76AA,,
错配,……………………,1,002,mp0000,TK_CHEL,Loc_860,TK,Loc_858:jump;Loc_859:next,Loc_861:cond_false;Loc_862:jump,唯一,0020020001,0020020001,0010000175|0010000593|0010001076|0010001094|0010001205|0010001413|0010020202|0010051263|0010130995|0020000595|0020000698|0020001078|0020001550|0020010160|0020150486|0020170356|0020170368|0020170826|0020170871|0030020020|0030031129|0040040002|0060050429|0070180771|0280010601|0350000909|0890001539|1060150070|1080150274|1120150354|2050180265|2530151379,……………………|……………………|……………………|……………………|……………………|……………………|……………………|……………………|………ヨシュア……………|……………………|……………………|……………………|……………………|……………………|……………………|……………………|……………………|……………………|……………………|……………………|……………………（ジー）|……………………|……………………|……………………|……………………|……………………|……………………|……………………|……………………|……………………|……………………|……………………,T0311,Function_5,Function_5_D07,,
错配,あ、あっち行けよ、おまえら～！！,10007,085,mp0051_01,EV_00_24_00,Loc_50,非TK,Loc_86:jump;Loc_49:next,Loc_51:cond_false;Loc_51:next,唯一,0850000951,0850000951,0850000966,あ、あっち行けよ、おまえら〜！！,C0412,Function_3,loc_105E,Function_3_358:switch,loc_1860:switch;loc_1865:switch
错配,うわわあああん。来ないでよ、バカぁあああっ。,10005,086,mp0051_01,EV_00_24_00,Loc_50,非TK,Loc_86:jump;Loc_49:next,Loc_51:cond_false;Loc_51:next,唯一,0860000952,0860000952,0860000967,うわわあああん。来ないでよ、バカぁあああっ。,C0412,Function_3,loc_105E,Function_3_358:switch,loc_1860:switch;loc_1865:switch
错配,まったく……,10502,002,mp1000,TK_MINA,Loc_134,TK,Loc_130:cond_false,Loc_135:next,唯一,0020151017,0020151017,0020170181|0340120307|0360030581,まったく……|まったく……|まったく……,T4262,Function_9,loc_2325,loc_22CB:jump;loc_22F4:jump;loc_230A:jump;loc_2320:next,loc_23DF:next
错配,そんな事で見つかるくらいなら軍がとっくに発見してるはずだし。,0,001,mp1000_ev,EV_01_19_00,_entry,非TK,,,唯一,0010021240,0010021240,0010021218,そんな事で見つかるくらいなら軍がとっくに発見してるはずだし。,T1101,Function_23,loc_66A4,Function_23_644B:cond_true;Function_23_644B:cond_false,loc_6C47:next
