RemakeVoiceText,Speaker,SpeakerChar,MyVoiceId,Candidates,MatchType,Source,SpeakerMatch
何だ、エステル。どっか出かけんのか？,10007,085,,,无候选,,
まあね。,0,001,,,无候选,,
まあね。,0,001,,,无候选,,
しばらくロレントを留守にするわよ。,0,001,,,无候选,,
しばらくロレントを留守にするわよ。,0,001,,,无候选,,
あたしがいないからって寂しがらないようにね。,0,001,,,无候选,,
あたしがいないからって寂しがらないようにね。,0,001,,,无候选,,
バ、バッカやろ、誰が寂しがるかよ。,10007,085,,,无候选,,
……で、いつ帰ってくるんだよ？,10007,085,,,无候选,,
それは、まだ分からないわ。,0,001,,,无候选,,
それは、まだ分からないわ。,0,001,,,无候选,,
そうか……,10007,085,,,无候选,,
………………,10007,085,,,无候选,,
……早く帰ってこいよな。,10007,085,,,无候选,,
へ、何か言った？,0,001,,,无候选,,
へ、何か言った？,0,001,,,无候选,,
な、何でもねぇよ。,10007,085,,,无候选,,
クラウスおじさんの家で何かあったのか？,10007,085,,,无候选,,
記者がカシウスおじさんを取材に来たらしいぜ！,10007,085,,,无候选,,
うちの父ちゃんは王国軍の兵士だけど……,10007,085,,,无候选,,
ブレイサーに比べると堅苦しいし、地味だよなぁ。,10007,085,,,无候选,,
うーん、やっぱ兵士よりブレイサーのほうがかっこいいよなぁ……,10007,085,,,无候选,,
あーあ、早く大人になりてーな。,10007,085,,,无候选,,
ブレイサーになってどんどん活躍してやるのに。,10007,085,,,无候选,,
エステルなんかに先越されてたのが悔しくてしょうがないぜ。,10007,085,,,无候选,,
クラウスおじさん、この前、時計塔のまわりで一生懸命草むしりしてたぜ。,10007,085,,,无候选,,
市長ってあんな事もしなきゃいけないのか？,10007,085,,,无候选,,
あれは趣味でしょ。園芸が好きだって噂だし。,0,001,,,无候选,,
あれは趣味でしょ。園芸が好きだって噂だし。,0,001,,,无候选,,
だから『クラウスおじさん』って呼ばれちゃうんだろうね。,1,002,,,无候选,,
だから『クラウスおじさん』って呼ばれちゃうんだろうね。,1,002,,,无候选,,
ま、親しみがあっていいじゃない。,0,001,,,无候选,,
ま、親しみがあっていいじゃない。,0,001,,,无候选,,
クラウスおじさん、この前、時計塔のまわりで一生懸命草むしりしてたぜ。,10007,085,,,无候选,,
市長ってあんな事もしなきゃいけないのか？,10007,085,,,无候选,,
俺はカシウス・ブライトだぁ！,10007,085,,,无候选,,
逃げるな魔獣め、覚悟しやがれ！,10007,085,,,无候选,,
へへっ、一緒に行きたきゃ……,10007,085,,,无候选,,
俺を捕まえてみなっ！,10007,085,,,无候选,,
発見したの俺だもんねっ。,10007,085,,,无候选,,
クラウスおじさんがすごい勢いで走っていったけど……,10005,086,,,无候选,,
どうしたの？,10005,086,,,无候选,,
リベール通信って言ったらうちのお父さんもいつも読んでるよ。,10005,086,,,无候选,,
表紙に今話題になってる人の写真が載るんだよね。,10005,086,,,无候选,,
最近、日曜学校で遊撃士協会のことを習ったんだ。,10005,086,,,无候选,,
やっぱりブレイサーって憧れちゃうな。,10005,086,,,无候选,,
市長邸ってすごく庭がキレイだよね。,10005,086,,,无候选,,
あれもクラウスおじさんが自分でやってるんだって。,10005,086,,,无候选,,
ルック、手加減しないんだもん。逃げるしかないよー。,10005,086,,,无候选,,
連れてってよー！教えたのはボクなのにー。,10005,086,,,无候选,,
さっきね、クラウスおじさんが通ったの。,10009,,,,无候选,,
すごく大きな声で挨拶してくれたの。,10009,,,,无候选,,
ルックったら朝からあの調子なの。,10009,,,,无候选,,
男の子って単純ね。,10009,,,,无候选,,
ルックとパット、どこに行っちゃったのかなぁ……,10009,,,,无候选,,
あ、エステルお姉ちゃんとヨシュアお兄ちゃん！,10009,,,,无候选,,
おはよう、ユニちゃん。,1,002,,,无候选,,
おはよう、ユニちゃん。,1,002,,,无候选,,
今日はルックやパットと一緒じゃないの？,0,001,,,无候选,,
今日はルックやパットと一緒じゃないの？,0,001,,,无候选,,
さっきまで一緒にいたんだけど……,10009,,,,无候选,,
あの２人、急に走ってどこかに行っちゃったの。,10009,,,,无候选,,
ルックとパット、どこに行っちゃったのかなぁ……,10009,,,,无候选,,
エステル、ヨシュア。ボースに行っちゃうって本当？,10000,,,,无候选,,
あはは……さすがクルーセちゃん。,0,001,,,无候选,,
あはは……さすがクルーセちゃん。,0,001,,,无候选,,
相変わらずの早耳ね。,0,001,,,无候选,,
相変わらずの早耳ね。,0,001,,,无候选,,
ちょこっと調べ物があるからボースまで行くことになったの。,0,001,,,无候选,,
ちょこっと調べ物があるからボースまで行くことになったの。,0,001,,,无候选,,
カシウスさんだけじゃなくて２人もいなくなっちゃうなんて……,10000,,,,无候选,,
あーん、クルーセも同行して取材したーい。,10000,,,,无候选,,
ヨシュア、連れてって！,10000,,,,无候选,,
え……こ、困ったな。,1,002,,,无候选,,
え……こ、困ったな。,1,002,,,无候选,,
………………,10000,,,,无候选,,
でも、他で起こる事件もやっぱり気になるのよね。,10000,,,,无候选,,
クルーセ悩んじゃう。,10000,,,,无候选,,
クルーセ、今回はおとなしく待ってるからはやく帰ってきてね。,10000,,,,无候选,,
みんながいないとニュースソースが減っちゃうもの。,10000,,,,无候选,,
あ、エステルとヨシュアだ！それに……,10000,,,,无候选,,
きゃっ、シェラさん！,10000,,,,无候选,,
ハーイ、クルーセちゃん。,2,003,,,无候选,,
ハーイ、クルーセちゃん。,2,003,,,无候选,,
街でウワサの遊撃士が３人そろってるなんて……,10000,,,,无候选,,
ハッ、もしかして事件ね！,10000,,,,无候选,,
街でウワサの遊撃士が３人そろってるなんて……,10000,,,,无候选,,
もしかして事件ね！,10000,,,,无候选,,
